1.000000000000000021e-02 1.156005265369760421e-02 -2.404808603846100216e-04 1.243081288761438197e+00 -3.133409407925600437e-02 3.931054208257417582e+00 2.498946615694823947e+01 3.448406594736903169e-02 -1.575869581117458548e-02 -2.770943367485602327e+00 -2.036552990871208735e+01 1.000000000000000000e+00 3.778146499915526145e-17 1.008540906602113152e+00 7.412446691829283729e+00 3.931054567234223640e+00 2.498863786277425802e+01 -1.214760596100191270e+00 2.159773574888668515e-02 6.706198053053523900e+00 7.003130892064921120e+00 3.931054567250154896e+00 2.497923837793378965e+01 -9.979761418421646546e-01 -7.898056586840496857e-03 6.706198053053194386e+00 7.006552024862022776e+00 -4.958487587929163304e-02 4.978481367299909116e-02 -1.460062573033820083e-03 4.958131734037803107e-02 -5.117557786823308946e-02 1.460713962453582745e-03
1.200000000000000025e-02 1.387315740305619313e-02 -2.882640967308897268e-04 1.243185848818991746e+00 -3.130415509465521440e-02 3.271784470332910644e+00 2.084031057077647375e+01 3.450470705526655080e-02 -1.575266347911371406e-02 -2.305757508143853940e+00 -1.698261743135397595e+01 1.000000000000000000e+00 -2.149971630405316046e-18 8.392271004001722323e-01 6.181167244943199357e+00 3.271784900704000520e+00 2.083931661928768619e+01 -1.214847551909022494e+00 2.157256212517991850e-02 5.587890227840285995e+00 5.839204024126593673e+00 3.271784900723416101e+00 2.082803723747674596e+01 -9.979182128814015895e-01 -7.880285782557063315e-03 5.587890227843637092e+00 5.843309383499446064e+00 -5.929459218444300267e-02 5.953362127157114242e-02 -1.749287132693737703e-03 5.928846223795050663e-02 -6.119920712643298066e-02 1.750409860669000124e-03
1.400000000000000029e-02 1.618685689193261751e-02 -3.358786372001451451e-04 1.243309272923803999e+00 -3.126890639160626040e-02 2.800254943077797432e+00 1.787906731517122338e+01 3.452905992703227817e-02 -1.574555973209120635e-02 -1.972970676522188604e+00 -1.456800618199518205e+01 1.000000000000000000e+00 -5.950889585597104671e-17 7.181025993341272340e-01 5.302320622852266574e+00 2.800255444624418111e+00 1.787790770719452027e+01 -1.214950201609592106e+00 2.154292303832328406e-02 4.789006599089756122e+00 5.008327037135377857e+00 2.800255444640702418e+00 1.786474842841236210e+01 -9.978498267370468078e-01 -7.859361994645550423e-03 4.789006599097951344e+00 5.013116623070922095e+00 -6.889302208838678221e-02 6.917066046150931180e-02 -2.037008142188358184e-03 6.888332379493862512e-02 -7.110927523931653838e-02 2.038785629836089089e-03
1.600000000000000033e-02 1.850124916899792762e-02 -3.832972190007261906e-04 1.243451487645968356e+00 -3.122841191615788325e-02 2.446069680719810346e+00 1.566026226591165482e+01 3.455710414929172997e-02 -1.573739696820002781e-02 -1.722938697937667296e+00 -1.275857760386751494e+01 1.000000000000000000e+00 6.765213020171710137e-18 6.270984015146821022e-01 4.643742479383178079e+00 2.446070253192984989e+00 1.565893700240955155e+01 -1.215068486970997341e+00 2.150887158526930062e-02 4.189764128991558145e+00 4.385602348664716210e+00 2.446070253213283419e+00 1.564389782666201079e+01 -9.977710204922675130e-01 -7.835325130197162702e-03 4.189764129000410620e+00 4.391076161155774926e+00 -7.836306344528558288e-02 7.867875439053903519e-02 -2.322989099602798362e-03 7.834864798578825007e-02 -8.088832646882178345e-02 2.325633196385220279e-03
1.800000000000000211e-02 2.081643146490677956e-02 -4.304938851513501110e-04 1.243612410232733945e+00 -3.118274704878042439e-02 2.170120661790743366e+00 1.393640889102790759e+01 3.458881634587611387e-02 -1.572818933768971653e-02 -1.528082164736998205e+00 -1.135259843949469172e+01 1.000000000000000000e+00 -2.284133185455125468e-17 5.561764234773290960e-01 4.132007913553001899e+00 2.170121304904912396e+00 1.393491797309799374e+01 -1.215202342645115730e+00 2.147047075932368917e-02 3.723616813016549898e+00 3.901641914261107846e+00 2.170121304926843298e+00 1.391799890037967202e+01 -9.976818380199324876e-01 -7.808218409231538863e-03 3.723616813024485772e+00 3.907799953313379149e+00 -8.768825422744237763e-02 8.804136882534420450e-02 -2.606999789840429207e-03 8.766782721971214110e-02 -9.051955654270781026e-02 2.610749821792130755e-03
2.000000000000000042e-02 2.313249960335619221e-02 -4.774430553524042762e-04 1.243791945298417634e+00 -3.113199474919896292e-02 1.948943783795628937e+00 1.255901442798305467e+01 3.462417013505963981e-02 -1.571795259428231811e-02 -1.371854018278445331e+00 -1.022902805883784083e+01 1.000000000000000000e+00 4.521247258866654741e-18 4.993140284118368633e-01 3.723061738890766303e+00 1.948944497234283535e+00 1.255735785685789274e+01 -1.215351692904794279e+00 2.142778971064820612e-02 3.350637143093813997e+00 3.514812459713847037e+00 1.948944497258244368e+00 1.253855888717573386e+01 -9.975823271974122441e-01 -7.778091369133668942e-03 3.350637143100854143e+00 3.521654725321911261e+00 -9.685284713676778345e-02 9.724268705223096387e-02 -2.888817033201559244e-03 9.682497566667964961e-02 -9.998688858414075953e-02 2.893938740564556706e-03
2.199999999999999872e-02 2.544954946919792196e-02 -5.241198897918661380e-04 1.243989988807625346e+00 -3.107624661005865818e-02 1.767607962239833519e+00 1.143358276164275544e+01 3.466313629998771240e-02 -1.570670404023847416e-02 -1.243724820779788187e+00 -9.310840029113879979e+00 1.000000000000000000e+00 -1.237475427314955841e-16 4.526788143819114318e-01 3.388868626611713619e+00 1.767608745652761826e+00 1.143176053868508468e+01 -1.215516455498570236e+00 2.138090485305008462e-02 3.045416790965507214e+00 3.198619697377514282e+00 1.767608745678911353e+00 1.141108167203349844e+01 -9.974725428974422492e-01 -7.744998194531907409e-03 3.045416790974849519e+00 3.206146189550288739e+00 -1.058418755713072534e-01 1.062676761097113565e-01 -3.168225378410816345e-03 1.058049958697208498e-01 -1.092750402877386007e-01 3.175009752050018084e-03
2.400000000000000050e-02 2.776767565694159695e-02 -5.705001144218030222e-04 1.244206425102358571e+00 -3.101560199003583138e-02 1.616159680554720479e+00 1.049711581511213510e+01 3.470568279133479095e-02 -1.569446242592374696e-02 -1.136675392458034839e+00 -8.546682860583409536e+00 1.000000000000000000e+00 4.056853243836661621e-17 4.137160088775788114e-01 3.110738162965483333e+00 1.616160533562822632e+00 1.049512794181901576e+01 -1.215696538680927308e+00 2.132989907666350479e-02 2.791016939360787763e+00 2.935400419086903412e+00 1.616160533592216897e+00 1.047256917819860966e+01 -9.973525441535409097e-01 -7.708997973097192653e-03 2.791016939369356020e+00 2.943611137823589630e+00 -1.146412137985962781e-01 1.151021471998831536e-01 -3.445017735412376266e-03 1.145936394904005229e-01 -1.183695851798273468e-01 3.453779762056954569e-03
2.600000000000000228e-02 3.008697170441926999e-02 -6.165610064298240748e-04 1.244441128822356690e+00 -3.095016774083985539e-02 1.487708505808376103e+00 9.705998935197342803e+00 3.475177482143833319e-02 -1.568124782915467433e-02 -1.045846683604139571e+00 -7.901005040532036006e+00 1.000000000000000000e+00 -8.668644474010955988e-19 3.806570624379292389e-01 2.875730655540889913e+00 1.487709428001496414e+00 9.703845413194523317e+00 -1.215891843064218714e+00 2.127486157387095331e-02 2.575710769033787262e+00 2.712925939945850295e+00 1.487709428034663661e+00 9.679406752607944142e+00 -9.972223956802879208e-01 -7.670154074653727852e-03 2.575710769042712567e+00 2.721820885241363008e+00 -1.232376286042920210e-01 1.237328075481898687e-01 -3.718995944527278986e-03 1.231775594519145811e-01 -1.272570052299513144e-01 3.730073271426776003e-03
2.800000000000000405e-02 3.240752999510732729e-02 -6.622801353410996640e-04 1.244693965188266693e+00 -3.088005775741546263e-02 1.377333109292520286e+00 9.029078261634019498e+00 3.480137497006807745e-02 -1.566708158861548558e-02 -9.677682822587788669e-01 -7.348412200761095470e+00 1.000000000000000000e+00 1.152782027017072220e-16 3.522388484091278915e-01 2.674603310195637018e+00 1.377334100233698067e+00 9.026759092676188700e+00 -1.216102261827472608e+00 2.121588744969024609e-02 2.391122027832673691e+00 2.522461208466364013e+00 1.377334100268037043e+00 9.000440535120185714e+00 -9.970821675910777060e-01 -7.628534025631152765e-03 2.391122027844392761e+00 2.532040380324128037e+00 -1.316188240752373950e-01 1.321473053674145914e-01 -3.989971279344944020e-03 1.315443551364985642e-01 -1.359247364639239175e-01 4.003722809438815811e-03
